,display_name,tagged_assets,description,asd,relations,synonyms,data_stewards
14,Business Product Instances,Business Term,"Unique identifier of a business product. At the Sales Order submission, for each newly added product, based on the Order Item, the system creates a Business Product Instance. ",VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
15,Fixed Line NGN self-built,Business Term,"Vodafone owned NGN access lines, i.e. Vodafone owns or manages and fully controls the “last mile” (i.e. final access to the customer premise). Or reciprocal last mile access agreements, examples include Orange (ES), NOS (PT) and MEO (PT),  Co-ownership cases like SIRO (IE) is also considered On-net. Or unbundled local access on a sub loop level where Vodafone directly controls the cabinet or the active equipment. Next Generation Network (NGN) refers to access lines capable of delivering speeds greater than 30Mbps for &gt;90% of homes passed on that network, including Cable DOCSIS 3.0 (or higher), FTTx technologies and XDSL deployed on Fibre to the Cabinet (FTTC). ",VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
16,NBA Revenue per Call,Business Term,"Total NBA revenue following the local market methodology for calculating this. In all cases this represents the ""long tail"" value of sales approach meaning that the revenue will arrive in the p&amp;l for a number of months, depending of the lifetime of the products within the product portfolio. Methodology used to determine the value of a particular offer is variable per OpCo.
Formula is total revenue/ total live calls. ",VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
17,ABNTIME,Acronym,Abandoned Calls Time. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
18,Offer Product Line,Business Term,"It refers to the main product line, mobile or fix of VF's offers (categorization is sourced on offer product types). ",VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
19,Recurring Service Truck Roll,Business Term,"A service truck roll created for a customer who had a previous service truck roll completed within the previous 28 day period. The 28 day period is measured from ‘Closure of original ticket to ‘creation of the repeat ticket’.
(A Repeat Service Truck roll with Customer Not At Home/No reply Reason Code is not counted in the Service Truck Roll volumes. The term ‘ticket’ is system agnostic e.g. in Derby countries a ‘ticket’ is a service ‘case’.). ",VF HU Business Glossary,,Repeat Service Truck Roll,zsuzsanna.vida@vodafone.com
20,Fixed Deep Merge,Business Term,"Type of party base movement, where a Fixed Only Party or a Common Party brings in at least one fixed line core service from another party in the reporting period. If the latter party is a Fixed Only Party and loses all its fixed line services it should be counted as a Fixed Only Party churn. If the latter party is a Common Party and loses all its fixed line services it should be counted as a Fixed Leg churn. ",VF HU Business Glossary,FMC (Common) Party,,zsuzsanna.vida@vodafone.com
21,Call service Level,Business Term,Ratio of the calls answered within 60 seconds. ,VF HU Business Glossary,,SL60,zsuzsanna.vida@vodafone.com
22,Accepted (ACD) Calls,Business Term,"ACD or accepted calls is used for answered calls. The term “answered” is used only for split/skill and direct agent ACD calls. For manual answer agents, the call is answered when the agent selects the ringing line appearance. For automatic answer agents, the call is answered directly after the zip tone is applied. ",VF HU Business Glossary,,ACDCALLS,zsuzsanna.vida@vodafone.com
23,Prepaid,Acronym,Mobile Prepaid. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
24,SDU,Acronym,Single Dwelling Unit. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
25,Acces Point Name,Business Term,Name for the settings your phone reads to set up a connection to the gateway between your carrier's cellular network and the public Internet. ,VF HU Business Glossary,,APN,zsuzsanna.vida@vodafone.com
26,ABNCALLS,Acronym,Abandoned (ABN) Calls. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
27,Usage active base - mobile,Business Term,Postpaid and those prepaid subscriptions which have active IN system states (had paid traffic) and ones having applicable network activity in the past number of current month days. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
28,SLA,Acronym,Service Level Agreed. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
29,SLA,Acronym,Service Level Agreed. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
30,Repeat work order,Acronym,Recurring work order. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
31,SL60,Acronym,Call service Level. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
32,SL20,Acronym,% of calls answered in less than 20 seconds. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
33,% of calls answered in less than 20 seconds,Business Term,"Measures the percentage of Inbound calls answered in maximum 20s wait. Must include all Inbound calls (i.e. care, retention, collection, commercial) for all value segments. # of calls answered in less than or equal to 20 seconds / total # of inbound answered calls",VF HU Business Glossary,Call,SL20,zsuzsanna.vida@vodafone.com
34,ACDCALLS,Acronym,Accepted (ACD) Calls. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
35,APN,Acronym,Acces Point Name. ,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
36,Fixed Footprint,Business Term,Geographical area which is designated by the total of homes passed of fixed network,VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
37,"Net Promoter Score, NPS Score",Business Term,"Net promoter score is a customer loyalty metric used to monitor customer satisfaction.
Net Promoter Score programs ask just one quantitative question: “How likely are you to recommend this business to a friend or colleague?” Customers can select an answer from zero to 10 (where 10 = ‘Very Likely’). Those who select nine or 10 are considered “promoters”, seven to eight are “passives,” and six or below are “detractors.” A company’s NPS equals the percentage of promoters minus the percentage of detractors (passives are ignored in the calculation.). (Nr of Promoters/Nr of NPS Survey)-(Nr of Detractors/Nr of NPS Survey)",VF HU Business Glossary,,NPS,zsuzsanna.vida@vodafone.com
38,NPS,Acronym,"Net Promoter Score, NPS Score",VF HU Business Glossary,,,zsuzsanna.vida@vodafone.com
